Timestamp,Do you feel safe biking in Louisville?,What problems do you have with biking in Louisville currently?,What neighborhoods do you feel safe biking?,What neighborhoods do you NOT feel safe biking?,What intersection(s) could be improved?,"If you could fix one thing in Louisville specific to bike safety or infrastructure, what would it be?","If you could fix one thing in Louisville specific to bike safety or infrastructure, what would it be?"
9/28/2022 9:40:15,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, I do not feel safe biking in Louisville",,"Jefferson and Baxter, Chestnut and Broadway","No more cut off roads, safer intersections","No more cut off roads, safer intersections"
9/28/2022 10:13:36,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, River Road - Waterfront","Downtown, South End",,Connected and guarded bike lanes,Connected and guarded bike lanes
9/28/2022 10:13:56,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End","I don't feel safe biking in Louisville and we need to implement a NETWORK of connected, protected bike lanes in this city!",Build protected bike lanes. And make them connected to one another.,Build protected bike lanes. And make them connected to one another.
9/28/2022 10:14:37,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland","River Road - Waterfront, Clifton, South End",Unknown,Designated bike lanes separated from vehicular lanes,Designated bike lanes separated from vehicular lanes
9/28/2022 10:15:01,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville","Smoketown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End",22nd and Portland Ave,I would choose to have protected bike lanes.,I would choose to have protected bike lanes.
9/28/2022 10:15:33,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Indiana - New Albany, Indiana - Jeffersonville","Shelby Park, Downtown, River Road - Waterfront",Grinstead/Lexington (wait FOREVER with no shade for the light),Protected bike lane network. We have none (flex posts on 1/4 mile by Tyler Park don't count),Protected bike lane network. We have none (flex posts on 1/4 mile by Tyler Park don't count)
9/28/2022 10:16:11,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland","Highlands, River Road - Waterfront, Clifton, South End, I do not feel safe biking in Louisville","All intersections with Broadway, Main, Market, Baxter, Bardstown, Frankfort, Lexington, Preston, Goss, Brownsboro, etc. ",Protected infrastructure,Protected infrastructure
9/28/2022 10:17:45,Only with a large group,"Lights are too short, risk running red lights, Bike lanes are not protected or safe, Limited connectivity","Highlands, Shelby Park, Indiana - Jeffersonville","Downtown, West End - Russell, West End- Portland, River Road - Waterfront, South End",,Educate drivers on proper interaction with cyclists and install barriers to protect bike lanes,Educate drivers on proper interaction with cyclists and install barriers to protect bike lanes
9/28/2022 10:20:50,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, Old Louisville, Germantown","River Road - Waterfront, Clifton",All of them,Wider bike lanes that connect more places throughout the city,Wider bike lanes that connect more places throughout the city
9/28/2022 10:21:41,Yes,Car traffic is too fast / dangerous,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Old Louisville, Germantown",,n/a,Get people to stop stealing my damn bike. I've had three stolen and I've fkn had it lol,Get people to stop stealing my damn bike. I've had three stolen and I've fkn had it lol
9/28/2022 10:22:04,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, Clifton, Old Louisville, Germantown","Smoketown, Downtown, West End - Russell, West End- Portland, South End",All intersections along Algonquin,A bike lane NETWORK that is physically separated from motor vehicles.,A bike lane NETWORK that is physically separated from motor vehicles.
9/28/2022 10:22:46,Yes,"Lights are too short, risk running red lights, Bike lanes are not protected or safe","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, River Road - Waterfront, Old Louisville, Germantown",,All of downtown ,Better and more bike lanes. Way more bike parking. The lack of bike parking has become a deterrent when it comes to going some places.,Better and more bike lanes. Way more bike parking. The lack of bike parking has become a deterrent when it comes to going some places.
9/28/2022 10:23:17,Only with a large group,"Bike lanes are not protected or safe, Limited connectivity","West End - Russell, Clifton, South End, Old Louisville, Germantown","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, River Road - Waterfront",,Bigger bike lanes or bus lanes. Put them in areas people can commute to.,Bigger bike lanes or bus lanes. Put them in areas people can commute to.
9/28/2022 10:23:39,Only with a large group,"Lights are too short, risk running red lights, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"South End, I do not feel safe biking in Louisville",Old shep and newburg; old shep poplar level,A safer way to bike to GE…. My job…..once I hit poplar level I’m kissing death,A safer way to bike to GE…. My job…..once I hit poplar level I’m kissing death
9/28/2022 10:24:08,Only with a large group,"Bike lanes are not protected or safe, Limited connectivity","Highlands, Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, Clifton","Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, South End",,,
9/28/2022 10:24:39,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville",,Build physically protected lanes that separate bike traffic from other modes of transportation.,Build physically protected lanes that separate bike traffic from other modes of transportation.
9/28/2022 10:26:02,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,,more bike lanes,more bike lanes
9/28/2022 10:26:38,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, I do not feel safe biking in Louisville",I do not feel safe biking in Louisville,"Any intersection with right on red allowed, and/or a slip lane.",Protected bike lanes on main thoroughfares,Protected bike lanes on main thoroughfares
9/28/2022 10:27:50,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, Clifton, South End, Old Louisville, Germantown","Highlands, Downtown, River Road - Waterfront","Central and Third. Southern Parkway and Woodlawn. Also would love a way through the fairgrounds/Airport, and way to get going to Germantown / Highlands","More connectivity between neighborhoods. I’d love to be able to get north and south, East and west, and diagonal.","More connectivity between neighborhoods. I’d love to be able to get north and south, East and west, and diagonal."
9/28/2022 10:28:00,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Smoketown, Shelby Park, Indiana - Jeffersonville, Clifton","Highlands, River Road - Waterfront",,More/Better bike lanes,More/Better bike lanes
9/28/2022 10:28:00,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,Willow and Cherokee ,Connecting neighborhoods with safe bike lanes.,Connecting neighborhoods with safe bike lanes.
9/28/2022 10:29:10,Only with a large group,Car traffic is too fast / dangerous,"Highlands, Downtown, Indiana - Jeffersonville, Clifton, Old Louisville, Germantown","Highlands, Smoketown, Downtown, Indiana - Jeffersonville, Germantown",,,Increased safety of bike lanes separate from painted line such as pylons. Also a campaign to drivers to display patience and sharing road towards cyclists other than just signs that say share the road.
9/28/2022 10:29:35,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Indiana - New Albany, Indiana - Jeffersonville, West End- Portland","Highlands, Downtown, River Road - Waterfront",Spring and payne. Intersection doesn't pick up bikes and light to cross over payne is so long. The RR crossing on Frankfort and old main near gallant fox. ,Increased safety of bike lanes separate from painted line such as pylons. Also a campaign to drivers to display patience and sharing road towards cyclists other than just signs that say share the road.,separated bike lanes
9/28/2022 10:29:35,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,goss x spratt,separated bike lanes,Blocking off the bike lanes so only bikes (and not cars) could ride on those lanes.
9/28/2022 10:29:38,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Shelby Park, Downtown, West End - Russell, West End- Portland, Old Louisville, Germantown","Highlands, Smoketown, Clifton, South End",Bardstown Road in general. That street is too skinny.,Blocking off the bike lanes so only bikes (and not cars) could ride on those lanes.,Bike lanes and Bike-Main Street to walk into pubs and bars
9/28/2022 10:29:40,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Highlands, Smoketown, Old Louisville","Downtown, Germantown, I do not feel safe biking in Louisville","Intersection connecting to Frankfort, Bardstown rd, Broadway etc ",Bike lanes and Bike-Main Street to walk into pubs and bars,"Protected bikelanes that connect all core areas; Downtown, Highlands, Germantown, Old Louisville, West End, ..."
9/28/2022 10:29:48,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,"Virtually all of them.

Notably:
- Baxter and Broadway
- Grindstead and Bardstown
- Baxter and Jefferson and Lexington
- Grindstead and Cherokee
- All Broadway intersections are dangerous; Shawnee to Cave Hill

The layout of the streets encourage aggressive and reckless driving, there are barely any traffic calming measures. (more bollards, bump outs, two-way conversions, ...)
","Protected bikelanes that connect all core areas; Downtown, Highlands, Germantown, Old Louisville, West End, ...",More bike lanes/cleaner bike lanes.
9/28/2022 10:29:51,Yes,Bike lanes are not protected or safe,"Highlands, Indiana - Jeffersonville, River Road - Waterfront, Clifton, Old Louisville, Germantown","West End - Russell, West End- Portland, South End",,More bike lanes/cleaner bike lanes.,Creation of a connected network of physically protected bike lanes. No more paint on the road.
9/28/2022 10:30:11,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, River Road - Waterfront, Clifton, Germantown, Old Louisville, I do not feel safe biking in Louisville",all of them,Creation of a connected network of physically protected bike lanes. No more paint on the road.,"No one thing would help, but pushing through legislation allowing ticketing speed cameras, and then installing them might be an especially effective remedy."
9/28/2022 10:30:34,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - Jeffersonville, River Road - Waterfront, I do not feel safe biking in Louisville","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, Clifton, South End, Germantown, Old Louisville",Pretty much all of them.,"No one thing would help, but pushing through legislation allowing ticketing speed cameras, and then installing them might be an especially effective remedy.","Better bike lanes that are kept free of debris (gravel, tree waste). It would be awesome to have barriers protecting bikes lanes as well! And finish the Louisville loop!"
9/28/2022 10:33:16,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","West End - Russell, West End- Portland","Highlands, Smoketown, Shelby Park, Downtown, River Road - Waterfront, Clifton, South End",,"Better bike lanes that are kept free of debris (gravel, tree waste). It would be awesome to have barriers protecting bikes lanes as well! And finish the Louisville loop!",Protected lanes and law enforcement
9/28/2022 10:33:26,Only with a large group,Bike lanes are not protected or safe,"Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront","Highlands, Downtown, West End - Russell, West End- Portland, Old Louisville",,Protected lanes and law enforcement,More stop signs and traffic lights!
9/28/2022 10:33:38,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe",I do not feel safe biking in Louisville,"Downtown, West End - Russell, West End- Portland, River Road - Waterfront, South End",,,"More bike lanes, widening bike lanes"
9/28/2022 10:35:19,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, Old Louisville","Highlands, Downtown, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown",Less about intersections and more about cars running reds/speeding through intersections and lights,More stop signs and traffic lights!,"Robust, connected bike pathways that are free of rubble and vegetation and do not disappear and reappear every other block"
9/28/2022 10:35:48,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, West End- Portland, Clifton",,"More bike lanes, widening bike lanes",
9/28/2022 10:36:34,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,Literally all of them,"Robust, connected bike pathways that are free of rubble and vegetation and do not disappear and reappear every other block",More protected bike lanes using white reflector sticks and more clearly labeled bike lanes.
9/28/2022 10:37:06,Yes,Limited connectivity,"Highlands, Shelby Park, Indiana - Jeffersonville, Clifton, Germantown","Downtown, Indiana - New Albany, West End- Portland, River Road - Waterfront, South End, Old Louisville",,,
9/28/2022 10:37:20,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Germantown, I do not feel safe biking in Louisville","Highlands, Smoketown, Shelby Park, Downtown, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Old Louisville, I do not feel safe biking in Louisville",A lot,More protected bike lanes using white reflector sticks and more clearly labeled bike lanes.,Every School needs to be connected to the neighborhoods in its vicinity by a network of grade-separated protected bike lanes.
9/28/2022 10:40:18,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Indiana - Jeffersonville, Old Louisville","Highlands, Smoketown, Shelby Park, Downtown",,,More and protected bike lanes
9/28/2022 10:41:07,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,"Willis Avenue between Breckenridge Ln and Shelbyville Rd.  Lexington @Grinstead, anything along Shelbyville Rd.",Every School needs to be connected to the neighborhoods in its vicinity by a network of grade-separated protected bike lanes.,If River Road had designated bike lane it would make my life so much easier. It’s so dangerous and cars go so fast and the road sucks
9/28/2022 10:42:27,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, Old Louisville, Germantown","River Road - Waterfront, Clifton, South End",,More and protected bike lanes,speed limits/roads/bike lanes
9/28/2022 10:42:58,Yes,Limited connectivity,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Old Louisville",River Road - Waterfront,,If River Road had designated bike lane it would make my life so much easier. It’s so dangerous and cars go so fast and the road sucks,
9/28/2022 10:46:49,No,"Bike lanes are not protected or safe, Limited connectivity",Highlands,"Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville",,speed limits/roads/bike lanes,"More protected bike lanes on major thoroughfares, more available bike racks/parking/lockers"
9/28/2022 10:47:40,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, Old Louisville, Germantown",South End,,,LMPD EFFORT WHEN A BICYCLIST US HIT BY A CAR. JUSTICE FOR NATHAN
9/28/2022 10:49:32,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, I do not feel safe biking in Louisville","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville","Baxter Ave/E. Chestnut/Jefferson Street, Goss Ave/Poplar Level/Eastern Pkwy","More protected bike lanes on major thoroughfares, more available bike racks/parking/lockers",
9/28/2022 10:52:20,No,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville",,LMPD EFFORT WHEN A BICYCLIST US HIT BY A CAR. JUSTICE FOR NATHAN,"Safe bike lanes. It’s not enough for them to just exist, the city, drivers and the outlining business’ (hotels) need to acknowledge and respect them."
9/28/2022 10:55:30,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Shelby Park, Indiana - Jeffersonville, Germantown",,,,"Increase in bike lanes, specifically protected lanes that are marked clearly. would like significantly more in all areas not just in main thoroughfares."
9/28/2022 11:07:03,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, Old Louisville, Germantown","Highlands, Downtown, River Road - Waterfront, Clifton","Any on Bardstown road- the unsafest being Douglas loop. Also, Baxter Ave & Chestnut intersection, it’s always a little chaotic, especially being that there aren’t any bike lanes in this area. ","Safe bike lanes. It’s not enough for them to just exist, the city, drivers and the outlining business’ (hotels) need to acknowledge and respect them.",Protected bike lanes/paths.
9/28/2022 11:08:36,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Downtown, Germantown","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville",,"Increase in bike lanes, specifically protected lanes that are marked clearly. would like significantly more in all areas not just in main thoroughfares.",slow vehicle (car/truck) traffic
9/28/2022 11:19:24,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Smoketown, Shelby Park, Old Louisville, Germantown","Highlands, Downtown, River Road - Waterfront, Clifton, South End",Bardstown/Baxter/Highland,Protected bike lanes/paths.,More protected lanes
9/28/2022 11:23:56,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe",Downtown,"Highlands, Shelby Park, Germantown, Old Louisville, I do not feel safe biking in Louisville",,slow vehicle (car/truck) traffic,"Combine the small unprotected, one-way bike ""lanes"" on either side of the road into one protected, bi-directional good one on one side. Enhance pedestrian crossings (pedestrian islands, etc.) for access."
9/28/2022 11:24:44,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Downtown, Indiana - New Albany, Indiana - Jeffersonville","Shelby Park, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville",All,More protected lanes,Wider shoulders
9/28/2022 11:25:37,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - Jeffersonville, Clifton, Germantown","Downtown, River Road - Waterfront, South End",Baxter and E Broadway,"Combine the small unprotected, one-way bike ""lanes"" on either side of the road into one protected, bi-directional good one on one side. Enhance pedestrian crossings (pedestrian islands, etc.) for access.",
9/28/2022 11:27:25,Only with a large group,"Car traffic is too fast / dangerous, Limited connectivity",,,,Wider shoulders,"Make a highly connected grid of low stress, low speed routes to link the city together."
9/28/2022 11:31:29,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe",,,,,More dedicated bike lanes. I feel safe anytime there is a dedicated space for bikes. Only using a painted bike lane symbol in the center of the road is a joke. No driver is seeing that and taking extra caution.
9/28/2022 11:33:02,No,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,Any intersection with more than 2 lanes in each direction or average vehicle speeds >20mph,"Make a highly connected grid of low stress, low speed routes to link the city together.",Put a bike lane or at least a shoulder on bardstown between fegenbush and hurstbourne.
9/28/2022 11:33:52,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Indiana - Jeffersonville, West End - Russell, West End- Portland, Germantown","Highlands, Downtown, River Road - Waterfront, South End",,More dedicated bike lanes. I feel safe anytime there is a dedicated space for bikes. Only using a painted bike lane symbol in the center of the road is a joke. No driver is seeing that and taking extra caution.,
9/28/2022 11:35:22,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Limited connectivity",,"Highlands, I do not feel safe biking in Louisville",,Put a bike lane or at least a shoulder on bardstown between fegenbush and hurstbourne.,Take road space away from cars and give it to bikes and buses!
9/28/2022 11:41:22,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Downtown, Indiana - New Albany, Germantown",River Road - Waterfront,,,Bike lanes that are more cohesive. That don’t just stop and start sporadically but actually connect all together. And some sort of protection system like the ones they have near Tyler park.
9/28/2022 11:44:48,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville",Nearly all of them. River & Witherspoon comes to mind first - what an introduction to biking into Louisville from Indiana,Take road space away from cars and give it to bikes and buses!,
9/28/2022 12:09:34,No,"Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, I do not feel safe biking in Louisville","Highlands, Smoketown, Shelby Park, Downtown, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville",,Bike lanes that are more cohesive. That don’t just stop and start sporadically but actually connect all together. And some sort of protection system like the ones they have near Tyler park.,Lower speed limits across the city.
9/28/2022 12:13:01,Yes,Car traffic is too fast / dangerous,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Old Louisville, Germantown",,,,More bike lanes and connectivity! I don’t have far to ride to work but there’s no safe direct route.
9/28/2022 12:18:35,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, Old Louisville","Highlands, Smoketown, Shelby Park, Downtown, South End",,Lower speed limits across the city.,Protected bike lanes
